x_nm,y_nm,phi_V
4.218750,5.156250,4.13934047e-01
4.218750,5.625000,4.07574327e-01
4.218750,6.093750,4.06038342e-01
4.218750,6.562500,4.06691399e-01
4.218750,7.031250,4.08250719e-01
4.218750,7.500000,4.10100314e-01
4.218750,7.968750,4.11944430e-01
4.218750,8.437500,4.13646992e-01
4.218750,8.906250,4.15152153e-01
4.218750,9.375000,4.16444571e-01
4.218750,9.843750,4.17529193e-01
4.218750,10.312500,4.18420913e-01
4.218750,10.781250,4.19139258e-01
4.218750,11.250000,4.19705631e-01
4.218750,11.718750,4.20141813e-01
4.218750,12.187500,4.20469052e-01
4.218750,12.656250,4.20707381e-01
4.218750,13.125000,4.20875025e-01
4.218750,13.593750,4.20987831e-01
4.218750,14.062500,4.21058743e-01
4.218750,14.531250,4.21097354e-01
4.218750,15.000000,4.21109562e-01
4.218750,15.468750,4.21097354e-01
4.218750,15.937500,4.21058743e-01
4.218750,16.406250,4.20987831e-01
4.218750,16.875000,4.20875025e-01
4.218750,17.343750,4.20707381e-01
4.218750,17.812500,4.20469052e-01
4.218750,18.281250,4.20141813e-01
4.218750,18.750000,4.19705631e-01
4.218750,19.218750,4.19139258e-01
4.218750,19.687500,4.18420913e-01
4.218750,20.156250,4.17529193e-01
4.218750,20.625000,4.16444571e-01
4.218750,21.093750,4.15152153e-01
4.218750,21.562500,4.13646992e-01
4.218750,22.031250,4.11944430e-01
4.218750,22.500000,4.10100314e-01
4.218750,22.968750,4.08250719e-01
4.218750,23.437500,4.06691399e-01
4.218750,23.906250,4.06038342e-01
4.218750,24.375000,4.07574327e-01
4.218750,24.843750,4.13934047e-01
4.218750,25.312500,4.31654503e-01
4.218750,25.781250,4.49767064e-01
4.218750,26.250000,4.51803435e-01
4.218750,26.718750,4.52801952e-01
4.218750,27.187500,4.52578755e-01
4.218750,27.656250,4.52478343e-01
4.218750,28.125000,4.52220672e-01
4.218750,28.593750,4.52814222e-01
4.218750,29.062500,4.53456735e-01
4.218750,29.531250,4.55083837e-01
4.218750,30.000000,4.56779342e-01
4.687500,0.000000,4.57136311e-01
4.687500,0.468750,4.54637442e-01
4.687500,0.937500,4.53622114e-01
4.687500,1.406250,4.52511131e-01
4.687500,1.875000,4.52595571e-01
4.687500,2.343750,4.52668601e-01
4.687500,2.812500,4.52405508e-01
4.687500,3.281250,4.52439555e-01
4.687500,3.750000,4.52020634e-01
4.687500,4.218750,4.45350077e-01
4.687500,4.687500,4.24668716e-01
4.687500,5.156250,4.12015647e-01
4.687500,5.625000,4.07163648e-01
4.687500,6.093750,4.06197917e-01
4.687500,6.562500,4.07015210e-01
4.687500,7.031250,4.08577198e-01
4.687500,7.500000,4.10361711e-01
4.687500,7.968750,4.12113090e-01
4.687500,8.437500,4.13712186e-01
4.687500,8.906250,4.15110354e-01
4.687500,9.375000,4.16295284e-01
4.687500,9.843750,4.17273299e-01
4.687500,10.312500,4.18060166e-01
4.687500,10.781250,4.18676333e-01
4.687500,11.250000,4.19144407e-01
4.687500,11.718750,4.19487715e-01
4.687500,12.187500,4.19729323e-01
4.687500,12.656250,4.19891221e-01
4.687500,13.125000,4.19993535e-01
4.687500,13.593750,4.20053787e-01
4.687500,14.062500,4.20086249e-01
4.687500,14.531250,4.20101438e-01
4.687500,15.000000,4.20105780e-01
4.687500,15.468750,4.20101438e-01
4.687500,15.937500,4.20086249e-01
4.687500,16.406250,4.20053787e-01
4.687500,16.875000,4.19993535e-01
4.687500,17.343750,4.19891221e-01
4.687500,17.812500,4.19729323e-01
4.687500,18.281250,4.19487715e-01
4.687500,18.750000,4.19144407e-01
4.687500,19.218750,4.18676333e-01
4.687500,19.687500,4.18060166e-01
4.687500,20.156250,4.17273299e-01
4.687500,20.625000,4.16295284e-01
4.687500,21.093750,4.15110354e-01
4.687500,21.562500,4.13712186e-01
4.687500,22.031250,4.12113090e-01
4.687500,22.500000,4.10361711e-01
4.687500,22.968750,4.08577198e-01
4.687500,23.437500,4.07015210e-01
4.687500,23.906250,4.06197917e-01
4.687500,24.375000,4.07163648e-01
4.687500,24.843750,4.12015647e-01
4.687500,25.312500,4.24668716e-01
4.687500,25.781250,4.45350077e-01
4.687500,26.250000,4.52020634e-01
4.687500,26.718750,4.52439555e-01
4.687500,27.187500,4.52405508e-01
4.687500,27.656250,4.52668601e-01
4.687500,28.125000,4.52595571e-01
4.687500,28.593750,4.52511131e-01
4.687500,29.062500,4.53622114e-01
4.687500,29.531250,4.54637442e-01
4.687500,30.000000,4.57136311e-01
5.156250,0.000000,4.52747029e-01
5.156250,0.468750,4.52373663e-01
5.156250,0.937500,4.52368758e-01
5.156250,1.406250,4.52322293e-01
5.156250,1.875000,4.52843043e-01
5.156250,2.343750,4.52813627e-01
5.156250,2.812500,4.52171771e-01
5.156250,3.281250,4.51570793e-01
5.156250,3.750000,4.50790476e-01
5.156250,4.218750,4.34406634e-01
5.156250,4.687500,4.17284736e-01
5.156250,5.156250,4.09586694e-01
5.156250,5.625000,4.06626295e-01
5.156250,6.093750,4.06365091e-01
5.156250,6.562500,4.07401317e-01
5.156250,7.031250,4.08974795e-01
5.156250,7.500000,4.10684417e-01
