x_nm,y_nm,phi_V
28.750000,27.500000,2.72449633e-01
28.750000,28.750000,3.52067370e-01
28.750000,30.000000,3.71195514e-01
30.000000,0.000000,3.60540284e-01
30.000000,1.250000,3.21113582e-01
30.000000,2.500000,2.64122228e-01
30.000000,3.750000,2.33358019e-01
30.000000,5.000000,2.19501607e-01
30.000000,6.250000,2.14076692e-01
30.000000,7.500000,2.11726455e-01
30.000000,8.750000,2.10716429e-01
30.000000,10.000000,2.10311346e-01
30.000000,11.250000,2.10185518e-01
30.000000,12.500000,2.10177325e-01
30.000000,13.750000,2.10201345e-01
30.000000,15.000000,2.10213906e-01
30.000000,16.250000,2.10201345e-01
30.000000,17.500000,2.10177325e-01
30.000000,18.750000,2.10185518e-01
30.000000,20.000000,2.10311346e-01
30.000000,21.250000,2.10716429e-01
30.000000,22.500000,2.11726455e-01
30.000000,23.750000,2.14076692e-01
30.000000,25.000000,2.19501607e-01
30.000000,26.250000,2.33358019e-01
30.000000,27.500000,2.64122228e-01
30.000000,28.750000,3.21113582e-01
30.000000,30.000000,3.60540284e-01
